Preco,Area,Quartos,Banheiros,Vagas
240.000,78,2,2,1
320.000,75,2,3,1
700.000,188,2,1,2
350.000,73,2,2,1
110.000,250,,,
115.000,160,,,
399.000,200,4,3,10
200.000,375,,,
370.000,300,6,4,3
820.000,180,3,3,4
160.000,1500,,,
300.000,141,2,1,2
265.000,1175,,,
400.000,92,3,1,2
150.000,160,,,
300.000,50,2,1,1
100.000,351,,,
1.500.000,500,4,5,6
180.000,369,,,
318.000,426,,,
235.000,357,,,
275.000,80,2,2,1
287.000,80,2,2,1
229.992,258,3,1,3
395.000,70,2,1,1
120.000,250,,,
260.000,125,2,1,2
900.000,223,1,3,2
170.000,332,,,
1.300.000,343,4,2,1
165.000,254,,,
259.000,57,2,1,1
200.000,164,4,2,1
2.700.000,332,,3,
180.000,2430,,,
220.000,1100,,,
415.000,125,3,2,
150.000,1000,,,
190.000,1000,,,
215.000,300,2,3,4
426.000,200,3,2,3
395.000,120,3,2,2
299.000,89,2,2,1
450.000,68,2,2,1
300.000,74,,,4
300.000,390,,,
400.000,80,2,1,3
280.000,63,2,1,2
500.000,196,3,2,4
320.000,85,2,2,2
330.000,72,2,2,
370.000,3990,,,
107.000,175,,,
330.000,149,3,1,2
350.000,44,2,2,1
370.000,69,2,2,1
250.000,500,,,
305.000,51,2,2,1
350.000,105,3,2,1
3.250.000,4550,,,
265.000,1500,2,1,
120.000,379,,,
320.000,82,2,2,2
260.000,70,2,2,1
200.000,250,,,
240.000,63,2,1,1
360.000,99,3,2,1
450.000,160,4,3,2
150.000,250,,,
350.000,75,2,2,1
250.000,64,2,1,1
285.000,66,2,1,1
535.000,78,2,2,1
14.787.450,254000,,,
430.000,73,2,2,1
680.000,180,3,3,3
330.000,125,3,2,1
450.000,148,2,2,2
362.000,200,2,1,2
250.000,1075,,,
360.000,200,3,2,3
260.000,72,2,1,1
480.000,105,3,3,2
600.000,215,2,2,4
230.000,418,,,
750.000,224,3,3,2
350.000,72,2,2,1
890.000,191,3,2,3
1.200.000,160,,1,2
170.000,49,1,1,1
500.000,108,2,2,4
260.000,70,2,1,2
385.000,70,3,2,1
550.000,115,3,3,2
600.000,160,3,2,2
250.000,63,2,1,1
300.000,69,3,2,2
420.000,154,,1,
750.000,228,3,4,4
380.000,200,3,2,2
180.000,360,,,
289.000,62,2,1,1
450.000,70,2,1,1
300.000,123,3,3,2
290.000,100,2,1,1
580.000,200,4,3,4
650.000,185,2,4,3
390.000,108,2,2,1
260.000,100,3,1,1
250.000,60,2,2,1
420.000,125,4,2,1
320.000,72,2,1,1
121.000,160,,,
360.000,67,2,1,2
770.000,172,3,2,3
250.000,125,3,1,3
290.000,70,2,1,1
370.000,76,2,2,1
626.000,90,2,3,1
320.000,85,2,2,1
"400.000,00",,2,2,
,68,,,
,398,,,4
,44,2,,
,135,,,
,38,,,1
,58,1,,
1.850.000,250,,,
,67,02,,
"650.000,00",73,,,
14.900.000,819,,,
"4,4",330,,,
,607,,,
,101,2,,
,60,2,,
,51,3,,
,71,3,,
,64,2,,
80.000,360,3,,
,104,3,,
,126,,,
"570.000,00",59,,,
,323,,,
